ABILITY_MORPH_RANK, string
ACTION_RESULT_REFLECTED, string
ACTION_RESULT_REINCARNATING, string
ACTION_RESULT_RESIST, string
ACTION_RESULT_RESURRECT, string
ACTION_RESULT_ROOTED, string
ACTION_RESULT_SIEGE_LIMIT, string
ACTION_RESULT_SIEGE_NOT_ALLOWED_IN_ZONE, string
ACTION_RESULT_SIEGE_TOO_CLOSE, string
ACTION_RESULT_SILENCED, string
ACTION_RESULT_SPRINTING, string
ACTION_RESULT_STAGGERED, string
ACTION_RESULT_STUNNED, string
ACTION_RESULT_SWIMMING, string
ACTION_RESULT_TARGET_DEAD, string
ACTION_RESULT_TARGET_NOT_IN_VIEW, string
ACTION_RESULT_TARGET_NOT_PVP_FLAGGED, string
ACTION_RESULT_TARGET_OUT_OF_RANGE, string
ACTION_RESULT_TARGET_TOO_CLOSE, string
ACTION_RESULT_UNEVEN_TERRAIN, string
ACTION_RESULT_WEAPONSWAP, string
ACTION_RESULT_WRECKING_DAMAGE, string
ACTION_RESULT_WRONG_WEAPON, string
ACTION_SLOT_TYPE_BLOCK, string
ACTION_SLOT_TYPE_HEAVY_ATTACK, string
ACTION_SLOT_TYPE_LIGHT_ATTACK, string
ACTION_SLOT_TYPE_NORMAL_ABILITY, string
ACTION_SLOT_TYPE_OTHER, string
ACTION_SLOT_TYPE_ULTIMATE, string
ACTION_SLOT_TYPE_WEAPON_ATTACK, string
ACTION_TYPE_ABILITY, string
ACTION_TYPE_COLLECTIBLE, string
ACTION_TYPE_COUNT, string
ACTION_TYPE_DEPRECATED1, string
ACTION_TYPE_DEPRECATED2, string
ACTION_TYPE_DEPRECATED3, string
ACTION_TYPE_EMOTE, string
ACTION_TYPE_ITEM, string
ACTION_TYPE_NOTHING, string
ACTION_TYPE_SIEGE_ACTION, string
ACTIVE_COMBAT_TIP_AUTOMATIC_VISIBILITY_SETTING_ID, string
ACTIVE_COMBAT_TIP_COLOR_FAILURE, string
ACTIVE_COMBAT_TIP_COLOR_NORMAL, string
ACTIVE_COMBAT_TIP_COLOR_SUCCESS, string
ACTIVE_COMBAT_TIP_ENABLED_SETTING_ID, string
ACTIVE_COMBAT_TIP_RESULT_FAILURE, string
ACTIVE_COMBAT_TIP_RESULT_NO_ACTION, string
ACTIVE_COMBAT_TIP_RESULT_SUCCESS, string
ACTIVE_COMBAT_TIP_SYSTEM, string
ACTIVE_QUEST_TOOL_MONITOR_SYSTEM, string
ACTIVE_WEAPON_PAIR_BACKUP, string
ACTIVE_WEAPON_PAIR_MAIN, string
ACTIVE_WEAPON_PAIR_NONE, string
ACT_SETTING_ALWAYS, string
ACT_SETTING_AUTO, string
ACT_SETTING_OFF, string
ADDITIONAL_INTERACT_INFO_EMPTY, string
ADDITIONAL_INTERACT_INFO_FISHING_NODE, string
ADDITIONAL_INTERACT_INFO_INSTANCE_TYPE, string
ADDITIONAL_INTERACT_INFO_LOCKED, string
ADDITIONAL_INTERACT_INFO_NONE, string
ADDITIONAL_INTERACT_INFO_PICKPOCKET_CHANCE, string
ADDITIONAL_INTERACT_INFO_REQUIRES_KEY, string
ADDONS_FRAGMENT, string
ADDON_STATE_DEPENDENCIES_DISABLED, string
ADDON_STATE_DISABLED, string
ADDON_STATE_ENABLED, string
ADDON_STATE_ERROR_STATE_UNABLE_TO_LOAD, string
ADDON_STATE_NO_STATE, string
ADDON_STATE_TOC_LOADED, string
ADDON_STATE_VERSION_MISMATCH, string
ADD_ON_MANAGER, string
ALCHEMY, string
ALCHEMY_FRAGMENT, string
ALCHEMY_SCENE, string
ALCHEMY_TRAIT_STRIDE, string
ALERT_EVENT_MANAGER, string
ALERT_MESSAGES, string
ALERT_MESSAGES_GAMEPAD, string
ALLIANCE_ALDMERI_DOMINION, string
ALLIANCE_DAGGERFALL_COVENANT, string
ALLIANCE_EBONHEART_PACT, string
ALLIANCE_NONE, string
ALLIANCE_WAR_TITLE_FRAGMENT, string
ALLIANCE_WAR_WINDOW_SOUNDS, string
ANIMATION_ALPHA, string
ANIMATION_COLOR, string
ANIMATION_CUSTOM, string
ANIMATION_INSTANT, string
ANIMATION_INVALID, string
ANIMATION_MANAGER, string
ANIMATION_PLAYBACK_INVALID, string
ANIMATION_PLAYBACK_LOOP, string
ANIMATION_PLAYBACK_ONE_SHOT, string
ANIMATION_PLAYBACK_PING_PONG, string
ANIMATION_SCALE, string
ANIMATION_SCROLL, string
ANIMATION_SIZE, string
ANIMATION_TEXTURE, string
ANIMATION_TEXTUREROTATE, string
ANIMATION_TEXTURESLIDE, string
ANIMATION_TRANSLATE, string
APPEARANCE_NAME_ACCESSORY, string
APPEARANCE_NAME_AGE, string
APPEARANCE_NAME_BODY_MARKING, string
APPEARANCE_NAME_EYE_TINT, string
APPEARANCE_NAME_HAIR_STYLE, string
APPEARANCE_NAME_HAIR_TINT, string
APPEARANCE_NAME_HEAD_MARKING, string
APPEARANCE_NAME_SKIN_TINT, string
APPLY_ENCHANT, string
APPLY_ENCHANT_GAMEPAD, string
APPLY_ENCHANT_SCENE_GAMEPAD, string
ARMORDAMAGESTYLE_FABRIC, string
ARMORDAMAGESTYLE_GENERIC, string
ARMORDAMAGESTYLE_METAL, string
ARMORTYPE_HEAVY, string
ARMORTYPE_LIGHT, string
ARMORTYPE_MEDIUM, string
ARMORTYPE_NONE, string
ASSIGNABLE_ACTION_BAR_LOCK_MODE_ACTIVE, string
ASSIGNABLE_ACTION_BAR_LOCK_MODE_NONE, string
ASSIGNABLE_ACTION_BAR_LOCK_MODE_ULTIMATE, string
ATTRIBUTE_BAR_STATE_EXPANDED, string
ATTRIBUTE_BAR_STATE_NORMAL, string
ATTRIBUTE_BAR_STATE_SHRUNK, string
ATTRIBUTE_HEALTH, string
ATTRIBUTE_MAGICKA, string
ATTRIBUTE_NONE, string
ATTRIBUTE_STAMINA, string
ATTRIBUTE_TOOLTIP_COLOR_CURRENT_VALUE, string
ATTRIBUTE_TOOLTIP_COLOR_EFFECT, string
ATTRIBUTE_TOOLTIP_COLOR_NAME, string
ATTRIBUTE_VISUAL_AUTOMATIC, string
ATTRIBUTE_VISUAL_DECREASED_MAX_POWER, string
ATTRIBUTE_VISUAL_DECREASED_REGEN_POWER, string
ATTRIBUTE_VISUAL_DECREASED_STAT, string
ATTRIBUTE_VISUAL_INCREASED_MAX_POWER, string
ATTRIBUTE_VISUAL_INCREASED_REGEN_POWER, string
ATTRIBUTE_VISUAL_INCREASED_STAT, string
ATTRIBUTE_VISUAL_NONE, string
ATTRIBUTE_VISUAL_POSSESSION, string
ATTRIBUTE_VISUAL_POWER_SHIELDING, string
ATTRIBUTE_VISUAL_UNWAVERING_POWER, string
AUDIO_SETTING_AMBIENT_ENABLED, string
AUDIO_SETTING_AMBIENT_VOLUME, string
AUDIO_SETTING_AUDIO_ENABLED, string
AUDIO_SETTING_AUDIO_VOLUME, string
AUDIO_SETTING_BACKGROUND_AUDIO, string
AUDIO_SETTING_FOOTSTEPS_ENABLED, string
AUDIO_SETTING_FOOTSTEPS_VOLUME, string
AUDIO_SETTING_MUSIC_ENABLED, string
AUDIO_SETTING_MUSIC_VOLUME, string
AUDIO_SETTING_SFX_ENABLED, string
AUDIO_SETTING_SFX_VOLUME, string
AUDIO_SETTING_SOUND_ENABLED, string
AUDIO_SETTING_SPEAKER_SETUP, string
AUDIO_SETTING_UI_ENABLED, string
AUDIO_SETTING_UI_VOLUME, string
AUDIO_SETTING_VOICE_CHAT_ENABLED, string
AUDIO_SETTING_VO_ENABLED, string
AUDIO_SETTING_VO_VOLUME, string
AUDIO_SPEAKER_CONFIG_FIVE_POINT_ONE, string
AUDIO_SPEAKER_CONFIG_FIVE_POINT_ZERO, string
AUDIO_SPEAKER_CONFIG_FOUR_POINT_ONE, string
AUDIO_SPEAKER_CONFIG_FOUR_POINT_ZERO, string
AUDIO_SPEAKER_CONFIG_MONO, string
AUDIO_SPEAKER_CONFIG_SEVEN_POINT_ONE, string
AUDIO_SPEAKER_CONFIG_STEREO, string
AUDIO_SPEAKER_CONFIG_TWO_POINT_ONE, string
AUDIO_SPEAKER_CONFIG_USE_WINDOWS_SETTING, string
AUTHENTICATION_ERROR_ACCOUNT_ACCESS_RESTRICTED, string
AUTHENTICATION_ERROR_ACCOUNT_BANNED, string
AUTHENTICATION_ERROR_ACCOUNT_NOT_VERIFIED, string
AUTHENTICATION_ERROR_ACCOUNT_SUSPENDED, string
AUTHENTICATION_ERROR_BAD_CREDENTIALS, string
AUTHENTICATION_ERROR_GAME_ACCOUNT_NOT_FOUND, string
AUTHENTICATION_ERROR_GAME_ACCOUNT_NO_PERMISSION, string
AUTHENTICATION_ERROR_NO_ERROR, string
AUTHENTICATION_ERROR_PAYMENT_EXPIRED, string
AUTO_COMPLETE_FLAG_ALL, string
AUTO_COMPLETE_FLAG_FRIEND, string
AUTO_COMPLETE_FLAG_GUILD, string
AUTO_COMPLETE_FLAG_NONE, string
AUTO_COMPLETE_FLAG_RECENT, string
AUTO_COMPLETE_FLAG_RECENT_CHAT, string
AUTO_COMPLETE_FLAG_RECENT_TARGET, string
AUTO_COMPLETION_ANCHOR_BOTTOM, string
AUTO_COMPLETION_ANCHOR_TOP, string
AUTO_COMPLETION_AUTOMATIC_MODE, string
AUTO_COMPLETION_CALL_HOOKED_HANDLERS, string
AUTO_COMPLETION_DONT_CALL_HOOKED_HANDLERS, string
AUTO_COMPLETION_DONT_USE_ARROWS, string
AUTO_COMPLETION_MANUAL_MODE, string
AUTO_COMPLETION_ONLINE_ONLY, string
AUTO_COMPLETION_ONLINE_OR_OFFLINE, string
AUTO_COMPLETION_SELECTED_BY_CLICK, string
AUTO_COMPLETION_SELECTED_BY_ENTER, string
AUTO_COMPLETION_SELECTED_BY_SPACE, string
AUTO_COMPLETION_SELECTED_BY_TAB, string
AUTO_COMPLETION_USE_ARROWS, string
AbandonQuest(), string
AbilityTooltip, string
AbilityTooltipBG, string
AbilityTooltipBGMungeOverlay, string
AbilityTooltipProgression, string
AbilityTooltipProgressionBG, string
AbilityTooltipProgressionBGMiddle, string
AbilityTooltipProgressionBGRight, string
AbilityTooltipProgressionGloss, string
AbilityTooltipTopLevel, string
AcceptAgentChat(), string
AcceptFriendRequest(), string
AcceptGroupInvite(), string
AcceptGuildInvite(), string
AcceptOfferedQuest(), string
AcceptResurrect(), string
AcceptSharedQuest(), string
AcceptWorldEventInvite(), string
AchievementTooltip, string
AchievementTooltipBG, string
AchievementTooltipBGMungeOverlay, string
AchievementTooltipTopLevel, string
ActionButton, string
ActionButton3, string
ActionButton3ActivationHighlight, string
ActionButton3BG, string
ActionButton3Button, string
ActionButton3ButtonText, string
ActionButton3Cooldown, string
ActionButton3CooldownCompleteAnimation, string
ActionButton3CountText, string
ActionButton3DropCallout, string
ActionButton3FlipCard, string
ActionButton3Icon, string
ActionButton3Status, string
ActionButton4, string
ActionButton4ActivationHighlight, string
ActionButton4BG, string
ActionButton4Button, string
ActionButton4ButtonText, string
ActionButton4Cooldown, string
ActionButton4CooldownCompleteAnimation, string
ActionButton4CountText, string
ActionButton4DropCallout, string
ActionButton4FlipCard, string
ActionButton4Icon, string
ActionButton4Status, string
ActionButton5, string
ActionButton5ActivationHighlight, string
ActionButton5BG, string
ActionButton5Button, string
ActionButton5ButtonText, string
ActionButton5Cooldown, string
ActionButton5CooldownCompleteAnimation, string
ActionButton5CountText, string
ActionButton5DropCallout, string
ActionButton5FlipCard, string
ActionButton5Icon, string
ActionButton5Status, string
ActionButton6, string
ActionButton6ActivationHighlight, string
ActionButton6BG, string
ActionButton6Button, string
ActionButton6ButtonText, string
ActionButton6Cooldown, string
ActionButton6CooldownCompleteAnimation, string
ActionButton6CountText, string
ActionButton6DropCallout, string
ActionButton6FlipCard, string
ActionButton6Icon, string
ActionButton6Status, string
ActionButton7, string
ActionButton7ActivationHighlight, string
ActionButton7BG, string
ActionButton7Button, string
ActionButton7ButtonText, string
ActionButton7Cooldown, string
ActionButton7CooldownCompleteAnimation, string
ActionButton7CountText, string
ActionButton7DropCallout, string
ActionButton7FlipCard, string
ActionButton7Icon, string
ActionButton7Status, string
ActionButton8, string
ActionButton8ActivationHighlight, string
ActionButton8BG, string
ActionButton8Button, string
ActionButton8ButtonText, string
ActionButton8Cooldown, string
ActionButton8CooldownCompleteAnimation, string
ActionButton8CountText, string
ActionButton8Decoration, string
ActionButton8DropCallout, string
ActionButton8FlipCard, string
ActionButton8Icon, string
ActionButton8LeadingEdge, string
ActionButton8ReadyBurst, string
ActionButton8ReadyLoop, string
ActionButton8Status, string
ActionButton8UltimateBar, string
ActionButton9, string
ActionButton9ActivationHighlight, string
ActionButton9BG, string
ActionButton9Button, string
ActionButton9ButtonText, string
ActionButton9Cooldown, string
ActionButton9CooldownCompleteAnimation, string
ActionButton9CountText, string
ActionButton9DropCallout, string
ActionButton9FlipCard, string
ActionButton9Icon, string
ActionButton9Status, string
ActionButtonDown(), string
ActionButtonDownAndUp(), string
ActionButtonUp(), string
AddChatContainer(), string
AddChatContainerTab(), string
AddGroupFinderSearchEntry(), string
AddIgnore(), string
AddMapPin(), string
AddMapQuestPins(), string
AddMenuItem(), string
AddPendingChampionPoints(), string
AddPendingGuildRank(), string
AgreeToEULA(), string
AnchorDyeSwatch(), string
AnchorDyeSwatch_Gamepad(), string
AnchorMenu(), string
ApplyPendingDyes(), string
ApplyPendingHeraldryChanges(), string
ApplySoftCapToStat(), string
ApplyTemplateToControl(), string
AreActionBarsLocked(), string
AreAnyItemsStolen(), string
AreId64sEqual(), string
AreUnitsEqual(), string
BACKPACK_BANK_LAYOUT_FRAGMENT, string
BACKPACK_DEFAULT_LAYOUT_FRAGMENT, string
BACKPACK_FENCE_LAYOUT_FRAGMENT, string
BACKPACK_LAUNDER_LAYOUT_FRAGMENT, string
BACKPACK_MAIL_LAYOUT_FRAGMENT, string
BACKPACK_MENU_BAR_LAYOUT_FRAGMENT, string
BACKPACK_PLAYER_TRADE_LAYOUT_FRAGMENT, string
BACKPACK_STORE_LAYOUT_FRAGMENT, string
BACKPACK_TRADING_HOUSE_LAYOUT_FRAGMENT, string
BAG_BACKPACK, string
BAG_BANK, string
BAG_BUYBACK, string
BAG_DELETE, string
BAG_GUILDBANK, string
BAG_TRANSFER, string
BAG_WORN, string
BANK_FRAGMENT, string
BANK_MENU_FRAGMENT, string
BANK_WINDOW_SOUNDS, string
BAR_ALIGNMENT_CENTER, string
BAR_ALIGNMENT_NORMAL, string
BAR_ALIGNMENT_REVERSE, string
BATTLE_STATE_FINISHED, string
BATTLE_STATE_NONE, string
BATTLE_STATE_POSTGAME, string
BATTLE_STATE_PREGAME, string
BATTLE_STATE_RESTART, string
BATTLE_STATE_RUNNING, string
BATTLE_STATE_STARTING, string
